size,lr,sdr_mix,sdr,sir,sar,MSE baseline,MSE ANC
4,1e-05,0.6253999316766452,11.275852760341227,18.077066298496398,12.585920462187122,0.00010806107984892293,0.00011748802304888765
4,0.0001,0.6253999316766452,11.091635103915507,18.093496063229303,12.313147168199617,0.00010806107984892293,0.00012731355222343814
4,0.001,0.6253999316766452,10.747793495721607,18.65184602603206,11.688700453673988,0.00010806107984892293,0.00013826235434880445
4,0.01,0.6253999316766452,9.264420520649654,19.204459747985965,9.854512214339945,0.00010806107984892293,0.00017131764496512275
4,0.1,0.6253999316766452,4.065746588906841,18.688131731678084,4.347780783950938,0.00010806107984892293,0.00045276198207455523
16,1e-05,0.6253999316766452,11.387147384498235,17.953831234862392,12.698602821812415,0.00010806107984892293,0.00011213708522857405
16,0.0001,0.6253999316766452,11.216458220760714,18.275054873079103,12.348359872747743,0.00010806107984892293,0.00012140899951405385
16,0.001,0.6253999316766452,10.548369911675774,17.951138722778285,11.59690772228944,0.00010806107984892293,0.00014138524329253272
16,0.01,0.6253999316766452,9.407488245265952,18.41207648024544,10.107523740710901,0.00010806107984892293,0.0001692280328522126
16,0.1,0.6253999316766452,4.148980347282485,18.263661176062165,4.435591041019167,0.00010806107984892293,0.0004974098538285961
64,1e-05,0.6253999316766452,11.461028855138666,17.92823824778006,12.846356325409092,0.00010806107984892293,0.00010834017348494015
64,0.0001,0.6253999316766452,11.363001177422046,18.13736037234137,12.599802163965485,0.00010806107984892293,0.00011285263405857132
64,0.001,0.6253999316766452,10.597465373975425,18.027749649533924,11.638673609419707,0.00010806107984892293,0.00013885705585719324
64,0.01,0.6253999316766452,9.495099838889406,18.382130066993238,10.22925219228887,0.00010806107984892293,0.00016491937578893174
64,0.1,0.6253999316766452,4.912013348088998,18.470981016179852,5.247773477674028,0.00010806107984892293,0.0004826144945314702
128,1e-05,0.6253999316766452,11.479465245385382,17.848631924436532,13.050741393133313,0.00010806107984892293,0.00010805588407332408
128,0.0001,0.6253999316766452,11.462221633416583,18.220123808590152,12.830920088368378,0.00010806107984892293,0.00010784869036618985
128,0.001,0.6253999316766452,10.551485019229398,18.186136845567166,11.548017807814745,0.00010806107984892293,0.00013974949936656393
128,0.01,0.6253999316766452,9.256964716964987,18.319579019986964,9.999377821272587,0.00010806107984892293,0.00017711208293250965
128,0.1,0.6253999316766452,5.375630113425801,18.69324754118994,5.682578747385202,0.00010806107984892293,0.0004721243290559334
