size,lr,sdr_mix,sdr,sir,sar,MSE baseline,MSE ANC
4,1e-05,0.6253999316766452,11.610018599750397,18.146492323849003,13.492534996708798,0.00010806107984892293,0.00010794494164121502
4,0.0001,0.6253999316766452,11.62411993591757,18.276691648766857,13.459558768377839,0.00010806107984892293,0.00010715136395803853
4,0.001,0.6253999316766452,11.561200726334057,18.204582327733007,13.208638301092353,0.00010806107984892293,0.00010781716646663114
4,0.01,0.6253999316766452,11.227226365918316,18.393878675095877,12.434656900004512,0.00010806107984892293,0.00012392877400213597
4,0.1,0.6253999316766452,11.015740522888382,18.791317101985513,12.04841430220337,0.00010806107984892293,0.0001380755251054378
16,1e-05,0.6253999316766452,11.612797941336018,18.17472898158208,13.485546803291042,0.00010806107984892293,0.00010780183342741984
16,0.0001,0.6253999316766452,11.61940126429375,18.345631642602306,13.39946405431056,0.00010806107984892293,0.00010694289904124304
16,0.001,0.6253999316766452,11.51078501593784,18.35284868023058,12.907595561719909,0.00010806107984892293,0.00011076413496744399
16,0.01,0.6253999316766452,11.177873388209726,18.99595449520953,12.170119948977803,0.00010806107984892293,0.00012983999913558362
16,0.1,0.6253999316766452,10.909290502811864,19.31287922888788,11.756533777725762,0.00010806107984892293,0.00014427459488312405
64,1e-05,0.6253999316766452,11.611313980291797,18.17734112018451,13.480738314552928,0.00010806107984892293,0.0001078554342373037
64,0.0001,0.6253999316766452,11.599778327814665,18.276323141168454,13.366486662936087,0.00010806107984892293,0.00010770638952689136
64,0.001,0.6253999316766452,11.516956481423113,18.722101947469554,12.762458738312993,0.00010806107984892293,0.00011101395129134842
64,0.01,0.6253999316766452,11.156318964973906,19.644973363573932,11.998196118895164,0.00010806107984892293,0.00013121592141140034
64,0.1,0.6253999316766452,10.635518148377074,20.05610509990825,11.317875928836344,0.00010806107984892293,0.00015834980534718319
128,1e-05,0.6253999316766452,11.612565074192787,18.1971084960884,13.478112009427,0.00010806107984892293,0.00010774506863170102
128,0.0001,0.6253999316766452,11.614677800347742,18.543579221077913,13.3363233107771,0.00010806107984892293,0.00010698031949098496
128,0.001,0.6253999316766452,11.42646931685356,18.996946438920244,12.637276798498846,0.00010806107984892293,0.00011439854187854365
128,0.01,0.6253999316766452,10.946187878858476,19.591017493658597,11.775096184753847,0.00010806107984892293,0.00014016278562884704
128,0.1,0.6253999316766452,10.231380170278067,20.670103585547317,10.797426336656201,0.00010806107984892293,0.0001877474826851896
