,filter,size,lr,sdr_mix,sdr,sir,sar,MSE baseline,MSE ANC
0,rls,4,0.1,0.8060191584790863,1.2796491677888322,14.270910551663878,1.6843272530416813,0.0001984905232401455,0.0006591026105132757
1,rls,4,0.01,0.8060191584790863,5.71132894731211,14.508025244895094,6.508011370015726,0.0001984905232401455,0.0003093982444090002
2,rls,4,0.001,0.8060191584790863,6.735583281031273,14.125893751996319,7.866000891092498,0.0001984905232401455,0.0002560610134227603
3,rls,4,0.0001,0.8060191584790863,6.9551092925199285,12.998320082600411,8.486799928301958,0.0001984905232401455,0.00023615568437997033
4,rls,4,1e-05,0.8060191584790863,7.314175460231414,13.019834616747826,9.003986789826886,0.0001984905232401455,0.00021656274649442411
5,rls,16,0.1,0.8060191584790863,1.1172196177172522,14.71304180189873,1.4761133646532176,0.0001984905232401455,0.0007297753849450279
6,rls,16,0.01,0.8060191584790863,5.757275196346457,14.871359047677185,6.500246251752567,0.0001984905232401455,0.0003072766842795353
7,rls,16,0.001,0.8060191584790863,6.578616287746021,13.86599431098438,7.697128576705007,0.0001984905232401455,0.0002613723497180378
8,rls,16,0.0001,0.8060191584790863,7.243838497766323,13.847303796055753,8.543619567800226,0.0001984905232401455,0.00022415771496062185
9,rls,16,1e-05,0.8060191584790863,7.6071239167489235,13.607233544506592,9.185532907870861,0.0001984905232401455,0.00020554023338299174
10,rls,64,0.1,0.8060191584790863,1.8123196936386237,15.004914476697003,2.2489805102992606,0.0001984905232401455,0.000741287846775616
11,rls,64,0.01,0.8060191584790863,5.935565576943377,15.132193367586822,6.675944902105346,0.0001984905232401455,0.0002991995098544102
12,rls,64,0.001,0.8060191584790863,6.564876575020237,13.93582901100559,7.669734097760453,0.0001984905232401455,0.0002567979561931947
13,rls,64,0.0001,0.8060191584790863,7.574376821314736,14.143948448257351,8.959839549337957,0.0001984905232401455,0.00020693341160521786
14,rls,64,1e-05,0.8060191584790863,7.796946830453199,14.04274155518462,9.408299939388503,0.0001984905232401455,0.00019782398845635208
15,rls,128,0.1,0.8060191584790863,2.590725637088671,16.21091153569803,2.934796383163593,0.0001984905232401455,0.0007318998376528422
16,rls,128,0.01,0.8060191584790863,5.436928903929079,14.960906905119108,6.166670169725946,0.0001984905232401455,0.00032364001461103855
17,rls,128,0.001,0.8060191584790863,6.387771078440752,13.989669795150757,7.441245347051767,0.0001984905232401455,0.00025894622884544674
18,rls,128,0.0001,0.8060191584790863,7.795103737271239,14.70049716622809,9.3556740248717,0.0001984905232401455,0.00019688443372062607
19,rls,128,1e-05,0.8060191584790863,7.818713775385456,14.003032555430703,9.76458089858771,0.0001984905232401455,0.00019736856806511975
20,lms,4,0.1,0.8060191584790863,6.700905187096247,13.954744984556068,7.889817600189284,0.0001984905232401455,0.0002580919686485739
21,lms,4,0.01,0.8060191584790863,7.045670284497002,13.2873092877443,8.5143123909897,0.0001984905232401455,0.00023013782121387183
22,lms,4,0.001,0.8060191584790863,7.700616283408847,12.967306474553224,10.020636277976473,0.0001984905232401455,0.0001979797421132817
23,lms,4,0.0001,0.8060191584790863,7.822949174179163,13.115031883052993,10.515086166508203,0.0001984905232401455,0.00019666737347256904
